# 各周期危险性曲线
周期(s), 谱加速度(cm/s^2), 年超越概率
0.010, 4.066004e-03, 1.482353e-03
0.010, 4.060927e-03, 1.494118e-03
0.010, 3.978211e-03, 1.505882e-03
0.010, 3.917515e-03, 1.517647e-03
0.010, 3.867425e-03, 1.529412e-03
0.010, 3.788322e-03, 1.541176e-03
0.010, 3.721421e-03, 1.552941e-03
0.010, 3.704467e-03, 1.564706e-03
0.010, 3.565491e-03, 1.576471e-03
0.010, 3.305535e-03, 1.588235e-03
0.010, 3.268246e-03, 1.600000e-03
0.010, 3.221119e-03, 1.611765e-03
0.010, 3.167753e-03, 1.623529e-03
0.010, 3.107942e-03, 1.635294e-03
0.010, 3.030149e-03, 1.647059e-03
0.010, 3.000018e-03, 1.658824e-03
0.010, 2.999761e-03, 1.670588e-03
0.010, 2.918545e-03, 1.682353e-03
0.010, 2.899256e-03, 1.694118e-03
0.010, 2.873429e-03, 1.705882e-03
0.010, 2.828882e-03, 1.717647e-03
0.010, 2.793378e-03, 1.729412e-03
0.010, 2.792522e-03, 1.741176e-03
0.010, 2.739591e-03, 1.752941e-03
0.010, 2.637465e-03, 1.764706e-03
0.010, 2.635597e-03, 1.776471e-03
0.010, 2.536841e-03, 1.788235e-03
0.010, 2.440727e-03, 1.800000e-03
0.010, 2.405752e-03, 1.811765e-03
0.010, 2.353995e-03, 1.823529e-03
0.010, 2.293398e-03, 1.835294e-03
0.010, 2.279455e-03, 1.847059e-03
0.010, 2.253677e-03, 1.858824e-03
0.010, 2.110531e-03, 1.870588e-03
0.010, 1.889943e-03, 1.882353e-03
0.010, 1.738743e-03, 1.894118e-03
0.010, 1.725628e-03, 1.905882e-03
0.010, 1.712477e-03, 1.917647e-03
0.010, 1.691505e-03, 1.929412e-03
0.010, 1.645059e-03, 1.941176e-03
0.010, 1.529851e-03, 1.952941e-03
0.010, 1.252478e-03, 1.964706e-03
0.010, 9.571866e-04, 1.976471e-03
0.010, 8.326338e-04, 1.988235e-03
0.015, 1.629069e+01, 1.176471e-05
0.015, 2.758015e+00, 2.352941e-05
0.015, 1.749908e+00, 3.529412e-05
0.015, 1.708609e+00, 4.705882e-05
0.015, 1.459337e+00, 5.882353e-05
0.015, 1.454158e+00, 7.058824e-05
0.015, 8.572354e-01, 8.235294e-05
0.015, 7.725926e-01, 9.411765e-05
0.015, 7.263309e-01, 1.058824e-04
