# 地震模拟系统 - 地震动加速度谱数据
# 模拟参数
# 总模拟次数: 5
# 时间跨度: 500.0 年
# 区域范围: 经度 [-90.5, -89.5], 纬度 [35.0, 35.5]

事件 1
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.66, 46.11, -89.6236, 35.3604, 14.93, 36.29

频率(Hz), 加速度谱(cm/s^2)
1.7, 3.384876e+01
1.8, 2.029347e+01
1.9, 1.292424e+01
2.0, 2.212358e+01
2.1, 1.106505e+01
2.2, 3.113934e+01
2.3, 1.768386e+01
2.4, 2.084930e+01
2.5, 3.952213e+01
2.6, 2.288282e+01
2.7, 1.823687e+01
2.8, 2.668656e+01
2.9, 1.527162e+01
3.0, 1.804057e+01
3.1, 9.989816e+00
3.2, 2.217674e+01
3.3, 1.934579e+01
3.4, 1.098833e+01
3.5, 2.083128e+01
3.6, 2.015585e+01
3.7, 1.967991e+01
3.8, 8.287994e+00
3.9, 1.037682e+01
4.0, 2.931272e+01
4.1, 3.085363e+01
4.2, 1.941673e+01
4.3, 5.099903e+00
4.4, 1.135158e+01
4.5, 2.900457e+01
4.6, 2.464891e+01
4.7, 1.554335e+01
4.8, 1.094026e+01
4.9, 2.342691e+01
5.0, 1.492090e+01
5.1, 9.629838e+00
5.2, 2.659245e+01
5.3, 4.404380e+00
5.4, 2.297309e+01
5.5, 1.475986e+01
5.6, 1.040657e+01
5.7, 1.676234e+01
5.8, 8.286327e+00
5.9, 9.250862e+00
6.0, 2.205234e+01
6.1, 1.114966e+01
6.2, 1.083640e+01
6.3, 1.524211e+01
6.4, 1.558950e+01
6.5, 1.297864e+01
6.6, 1.413891e+01
6.7, 1.007361e+01
6.8, 1.568013e+01
6.9, 8.460237e+00
7.0, 1.082196e+01
7.1, 1.060156e+01
7.2, 8.384935e+00
7.3, 1.044000e+01
7.4, 2.466816e+01
7.5, 2.026429e+01
7.6, 1.039627e+01
7.7, 2.534441e+01
7.8, 1.912365e+01
7.9, 1.294280e+01
8.0, 4.373953e+00
8.1, 2.311481e+01
8.2, 9.857306e+00
8.3, 1.772281e+01
8.4, 1.775441e+01
8.5, 9.898524e+00
8.6, 1.835767e+01
8.7, 1.330808e+01
8.8, 5.257127e+00
