# 地震模拟系统 - 地震动加速度谱数据
# 模拟参数
# 总模拟次数: 5
# 时间跨度: 500.0 年
# 区域范围: 经度 [-90.5, -89.5], 纬度 [35.0, 35.5]

事件 1
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.66, 46.11, -89.6236, 35.3604, 14.93, 36.29

频率(Hz), 加速度谱(cm/s^2)
2.0, 2.352903e+01
2.1, 1.450281e+01
2.2, 1.337720e+01
2.3, 1.931584e+01
2.4, 1.148844e+01
2.5, 1.500792e+01
2.6, 2.719660e+01
2.7, 2.933937e+01
2.8, 9.104093e+00
2.9, 2.804431e+01
3.0, 1.461553e+01
3.1, 1.180982e+01
3.2, 1.760706e+01
3.3, 6.901788e+00
3.4, 1.303415e+01
3.5, 2.403350e+01
3.6, 1.959507e+01
3.7, 2.488240e+01
3.8, 2.687652e+01
3.9, 5.863999e+00
4.0, 1.515080e+01
4.1, 1.094495e+01
4.2, 1.716375e+01
4.3, 9.584470e+00
4.4, 9.027553e+00
4.5, 1.307957e+01
4.6, 2.226246e+01
4.7, 1.025750e+01
4.8, 5.362849e+00
4.9, 1.710344e+01
5.0, 5.921206e+00
5.1, 8.015495e+00
5.2, 9.781610e+00
5.3, 8.266955e+00
5.4, 1.516265e+01
5.5, 1.610913e+01
5.6, 1.712789e+01
5.7, 1.008163e+01
5.8, 8.681289e+00
5.9, 1.196129e+01
6.0, 1.837925e+01
6.1, 1.046468e+01
6.2, 6.815465e+00
6.3, 3.685222e+00
6.4, 1.096965e+01
6.5, 7.775644e+00
6.6, 6.181116e+00
6.7, 1.025507e+01
6.8, 5.361839e+00
6.9, 7.071833e+00
7.0, 6.854002e+00
7.1, 1.154530e+01
7.2, 8.403828e+00
7.3, 6.265414e+00
7.4, 6.627302e+00
7.5, 1.084387e+01
7.6, 5.050741e+00
7.7, 6.383821e+00
7.8, 8.805671e+00
7.9, 1.210767e+01
8.0, 4.703108e+00
8.1, 6.187625e+00
8.2, 5.101116e+00
8.3, 5.701194e+00
8.4, 7.885595e+00
8.5, 2.628657e+00
8.6, 4.182036e+00
8.7, 9.326178e+00
8.8, 4.092484e+00
8.9, 5.527485e+00
9.0, 4.721342e+00
9.1, 5.793906e+00
9.2, 6.397966e+00
9.3, 6.889112e+00
9.4, 3.057623e+00
9.5, 1.424123e+01
9.6, 6.134080e+00
9.7, 4.164851e+00
9.8, 3.696017e+00
9.9, 7.639922e+00
10.0, 5.657556e+00

事件 11
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
5.76, 203.89, -89.9154, 35.1317, 8.28, 15.24

频率(Hz), 加速度谱(cm/s^2)
0.1, 1.150348e+02
0.2, 8.503293e+01
0.3, 1.443320e+02
0.4, 9.251561e+01
0.5, 7.230779e+01
0.6, 1.124366e+02
0.7, 8.098326e+01
0.8, 1.156380e+02
0.9, 5.477337e+01
1.0, 1.007242e+02
1.1, 1.042582e+02
1.2, 6.403976e+01
1.3, 1.209123e+02
1.4, 1.096040e+02
1.5, 5.910204e+01
1.6, 4.670935e+01
1.7, 5.734106e+01
1.8, 1.156070e+02
1.9, 6.340973e+01
2.0, 6.352464e+01
2.1, 8.687325e+01
2.2, 8.389807e+01
2.3, 1.337589e+02
2.4, 7.156350e+01
2.5, 9.002933e+01
2.6, 5.732836e+01
2.7, 5.853053e+01
2.8, 3.124278e+01
2.9, 6.535244e+01
3.0, 8.591409e+01
3.1, 7.419454e+01
3.2, 2.870692e+01
3.3, 8.513349e+01
3.4, 3.341133e+01
3.5, 4.036294e+01
3.6, 4.539632e+01
3.7, 4.838980e+01
3.8, 3.504475e+01
3.9, 2.848953e+01
4.0, 1.941165e+01
4.1, 5.884852e+01
4.2, 9.030823e+01
4.3, 5.423310e+01
4.4, 6.232015e+01
4.5, 5.015612e+01
4.6, 3.431413e+01
4.7, 7.109724e+01
4.8, 1.008152e+02
4.9, 5.961484e+01
5.0, 8.802940e+01
5.1, 6.456934e+01
5.2, 2.256181e+01
5.3, 4.167468e+01
5.4, 3.387016e+01
5.5, 7.848124e+01
5.6, 2.671960e+01
5.7, 5.955169e+01
5.8, 4.115283e+01
5.9, 5.760751e+01
6.0, 5.411078e+01
6.1, 4.556593e+01
6.2, 9.681354e+01
6.3, 4.725296e+01
6.4, 3.549844e+01
6.5, 3.872749e+01
6.6, 3.221014e+01
6.7, 6.063025e+01
6.8, 5.325384e+01
6.9, 4.257914e+01
7.0, 3.025372e+01
7.1, 4.584589e+01
7.2, 2.936464e+01
7.3, 4.022597e+01
7.4, 5.670959e+01
7.5, 5.251116e+01
7.6, 2.761716e+01
7.7, 5.587985e+01
7.8, 2.614812e+01
7.9, 4.428114e+01
8.0, 3.593377e+01
8.1, 5.377048e+01
8.2, 2.736449e+01
8.3, 4.761854e+01
8.4, 2.704390e+01
8.5, 3.432834e+01
8.6, 4.010242e+01
8.7, 3.984352e+01
8.8, 2.903144e+01
8.9, 3.867722e+01
9.0, 4.980065e+01
9.1, 1.512437e+01
9.2, 2.278903e+01
9.3, 2.324309e+01
9.4, 3.526287e+01
9.5, 2.739984e+01
9.6, 1.593949e+01
9.7, 1.768844e+01
9.8, 3.208721e+01
9.9, 3.904244e+01
10.0, 4.988846e+01

事件 12
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.98, 249.25, -89.6022, 35.2503, 12.37, 36.12

频率(Hz), 加速度谱(cm/s^2)
0.1, 3.549977e+01
0.2, 2.798942e+01
0.3, 2.722432e+01
0.4, 2.252332e+01
0.5, 2.654010e+01
0.6, 1.669632e+01
0.7, 2.481128e+01
0.8, 2.067532e+01
0.9, 1.622599e+01
1.0, 1.668684e+01
1.1, 1.078508e+01
1.2, 3.748661e+01
1.3, 2.043639e+01
1.4, 2.305492e+01
1.5, 2.362759e+01
1.6, 2.884879e+01
1.7, 2.800952e+01
1.8, 2.083949e+01
1.9, 2.237543e+01
2.0, 1.570269e+01
2.1, 1.510184e+01
2.2, 1.154600e+01
2.3, 1.890284e+01
2.4, 3.430800e+01
2.5, 1.625461e+01
2.6, 2.145137e+01
2.7, 1.194787e+01
2.8, 2.501226e+01
2.9, 2.503769e+01
3.0, 3.250952e+01
3.1, 1.521648e+01
3.2, 2.273737e+01
3.3, 1.516436e+01
3.4, 9.454516e+00
3.5, 1.025411e+01
3.6, 3.199689e+01
3.7, 2.232631e+01
3.8, 1.511362e+01
3.9, 2.048890e+01
4.0, 1.194279e+01
4.1, 2.118093e+01
4.2, 3.565155e+01
4.3, 2.036037e+01
4.4, 1.154836e+01
4.5, 1.518694e+01
4.6, 2.602310e+01
4.7, 2.109858e+01
4.8, 2.158681e+01
4.9, 1.075537e+01
5.0, 1.145227e+01
5.1, 8.735275e+00
5.2, 1.956273e+01
5.3, 2.780627e+01
5.4, 1.498455e+01
5.5, 1.201200e+01
5.6, 1.979867e+01
5.7, 4.097558e+01
5.8, 1.736932e+01
5.9, 8.558861e+00
6.0, 6.991329e+00
6.1, 2.079837e+01
6.2, 1.206942e+01
6.3, 7.872276e+00
6.4, 1.326535e+01
6.5, 6.982191e+00
6.6, 9.316673e+00
6.7, 1.494874e+01
6.8, 1.720864e+01
6.9, 8.131557e+00
7.0, 7.903382e+00
7.1, 7.326004e+00
7.2, 5.981095e+00
7.3, 9.105721e+00
7.4, 1.654643e+01
7.5, 1.553624e+01
7.6, 1.664621e+01
7.7, 1.535245e+01
7.8, 1.353802e+01
7.9, 1.046774e+01
8.0, 1.020894e+01
8.1, 1.088419e+01
8.2, 1.028604e+01
8.3, 9.494409e+00
8.4, 1.145508e+01
8.5, 6.446159e+00
8.6, 7.988128e+00
8.7, 7.449072e+00
8.8, 5.882106e+00
8.9, 1.260841e+01
9.0, 8.870777e+00
9.1, 9.975695e+00
9.2, 1.893940e+01
9.3, 7.515815e+00
9.4, 7.730006e+00
9.5, 4.928446e+00
9.6, 3.410520e+00
9.7, 9.838441e+00
9.8, 4.301960e+00
9.9, 7.857105e+00
10.0, 8.056274e+00

事件 13
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.93, 269.45, -90.1006, 35.0893, 9.91, 20.07

频率(Hz), 加速度谱(cm/s^2)
0.1, 2.495575e+01
0.2, 3.500424e+01
0.3, 4.104893e+01
0.4, 3.858876e+01
0.5, 3.820287e+01
0.6, 9.380763e+01
0.7, 2.913852e+01
0.8, 4.660518e+01
0.9, 3.757751e+01
1.0, 3.524676e+01
1.1, 4.048467e+01
1.2, 3.232680e+01
1.3, 3.267292e+01
1.4, 2.193630e+01
1.5, 2.849910e+01
1.6, 2.431227e+01
1.7, 2.817618e+01
1.8, 2.482723e+01
1.9, 3.711895e+01
2.0, 1.675295e+01
2.1, 3.176541e+01
2.2, 3.641737e+01
2.3, 1.542136e+01
2.4, 3.152856e+01
2.5, 2.857603e+01
2.6, 2.196893e+01
2.7, 2.710342e+01
2.8, 1.915227e+01
2.9, 1.039421e+01
3.0, 4.285841e+01
3.1, 2.204491e+01
3.2, 3.396965e+01
3.3, 3.466556e+01
3.4, 1.255506e+01
3.5, 1.447157e+01
3.6, 1.228998e+01
3.7, 3.443381e+01
3.8, 3.184936e+01
3.9, 5.129500e+01
4.0, 2.930297e+01
4.1, 2.565001e+01
4.2, 2.872947e+01
4.3, 1.091151e+01
4.4, 1.339557e+01
4.5, 1.748433e+01
4.6, 1.535112e+01
4.7, 1.447288e+01
4.8, 2.435841e+01
4.9, 3.377557e+01
5.0, 2.047644e+01
5.1, 3.202894e+01
5.2, 7.173242e+00
5.3, 3.267372e+01
5.4, 3.377132e+01
5.5, 2.360095e+01
5.6, 2.231052e+01
5.7, 2.272103e+01
5.8, 1.819780e+01
5.9, 1.287312e+01
6.0, 2.887126e+01
6.1, 1.191008e+01
6.2, 8.583746e+00
6.3, 9.922827e+00
6.4, 1.219670e+01
6.5, 2.760480e+01
6.6, 1.392640e+01
6.7, 1.156314e+01
6.8, 2.233215e+01
6.9, 1.381327e+01
7.0, 1.215763e+01
7.1, 1.214773e+01
7.2, 1.088552e+01
7.3, 9.900189e+00
7.4, 2.255525e+01
7.5, 7.657507e+00
7.6, 2.226282e+01
7.7, 4.377803e+00
7.8, 8.563864e+00
7.9, 2.224837e+01
8.0, 1.552619e+01
8.1, 1.943008e+01
8.2, 2.390549e+01
8.3, 2.000479e+01
8.4, 6.390104e+00
8.5, 1.826621e+01
8.6, 1.472247e+01
8.7, 1.251987e+01
8.8, 3.355501e+01
8.9, 1.507386e+01
9.0, 1.242459e+01
9.1, 8.732616e+00
9.2, 8.079192e+00
9.3, 1.144772e+01
9.4, 1.687424e+01
9.5, 1.231258e+01
9.6, 7.008597e+00
9.7, 1.372763e+01
9.8, 7.359562e+00
9.9, 1.444403e+01
10.0, 1.390628e+01

事件 14
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.59, 274.83, -90.2807, 35.4563, 15.84, 34.27

频率(Hz), 加速度谱(cm/s^2)
0.1, 1.789760e+01
0.2, 1.666343e+01
0.3, 1.353632e+01
0.4, 2.044314e+01
0.5, 1.968203e+01
0.6, 1.653077e+01
0.7, 1.101063e+01
0.8, 1.181074e+01
0.9, 1.354731e+01
1.0, 2.267440e+01
1.1, 1.730285e+01
1.2, 2.446310e+01
1.3, 1.996441e+01
1.4, 1.292352e+01
1.5, 1.780359e+01
1.6, 1.506761e+01
1.7, 8.877980e+00
1.8, 1.526005e+01
1.9, 9.917245e+00
2.0, 9.574570e+00
2.1, 9.063913e+00
2.2, 7.459665e+00
2.3, 2.077628e+01
2.4, 1.917545e+01
2.5, 1.294313e+01
2.6, 1.714393e+01
2.7, 1.939249e+01
2.8, 4.701886e+00
2.9, 1.010632e+01
3.0, 1.808800e+01
3.1, 1.076187e+01
3.2, 9.793180e+00
3.3, 1.215878e+01
3.4, 1.293971e+01
3.5, 9.260358e+00
3.6, 5.577472e+00
3.7, 1.581923e+01
3.8, 1.429629e+01
3.9, 1.426138e+01
4.0, 2.320069e+01
4.1, 6.906373e+00
4.2, 1.268657e+01
4.3, 1.076730e+01
4.4, 5.031876e+00
4.5, 1.278596e+01
4.6, 1.184730e+01
4.7, 1.786300e+01
4.8, 6.345278e+00
4.9, 4.905789e+00
5.0, 6.030783e+00
5.1, 4.904383e+00
5.2, 1.012423e+01
5.3, 1.027542e+01
5.4, 7.779727e+00
5.5, 4.980297e+00
5.6, 8.070241e+00
5.7, 1.938868e+01
5.8, 1.038633e+01
5.9, 9.873774e+00
6.0, 5.177264e+00
6.1, 3.068005e+00
6.2, 7.111125e+00
6.3, 9.286081e+00
6.4, 1.165287e+01
6.5, 6.998054e+00
6.6, 5.758414e+00
6.7, 4.638800e+00
6.8, 9.835821e+00
6.9, 9.700889e+00
7.0, 4.906611e+00
7.1, 2.890820e+00
7.2, 1.378470e+01
7.3, 1.167552e+01
7.4, 4.561386e+00
7.5, 5.446878e+00
7.6, 1.734241e+01
7.7, 9.528106e+00
7.8, 5.636218e+00
7.9, 7.956529e+00
8.0, 8.104394e+00
8.1, 4.797399e+00
8.2, 3.092847e+00
8.3, 4.762263e+00
8.4, 1.027284e+01
8.5, 8.405066e+00
8.6, 3.413786e+00
8.7, 9.209728e+00
8.8, 4.326433e+00
8.9, 6.332245e+00
9.0, 8.995434e+00
9.1, 4.751885e+00
9.2, 7.356001e+00
9.3, 2.998724e+00
9.4, 1.855075e+00
9.5, 2.747268e+00
9.6, 2.169825e+00
9.7, 2.619686e+00
9.8, 4.718856e+00
9.9, 4.338558e+00
10.0, 5.587041e+00

事件 15
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
5.10, 282.42, -89.5025, 35.4353, 12.33, 49.61

频率(Hz), 加速度谱(cm/s^2)
0.1, 2.272420e+01
0.2, 3.211355e+01
0.3, 1.756450e+01
0.4, 2.026503e+01
0.5, 1.394087e+01
0.6, 3.000486e+01
0.7, 2.566956e+01
0.8, 1.686748e+01
0.9, 3.026856e+01
1.0, 1.222319e+01
1.1, 1.865166e+01
1.2, 1.956477e+01
1.3, 2.670675e+01
1.4, 2.880391e+01
1.5, 2.243171e+01
1.6, 3.203242e+01
1.7, 2.107147e+01
1.8, 2.269287e+01
1.9, 1.744811e+01
2.0, 3.697030e+01
2.1, 1.498297e+01
2.2, 1.219900e+01
2.3, 1.643350e+01
2.4, 1.456802e+01
2.5, 1.709185e+01
2.6, 1.318689e+01
2.7, 2.400583e+01
2.8, 9.357815e+00
2.9, 2.310742e+01
3.0, 8.983810e+00
3.1, 1.104713e+01
3.2, 1.280560e+01
3.3, 1.643032e+01
3.4, 6.900653e+00
3.5, 1.192241e+01
3.6, 2.398106e+01
3.7, 1.896973e+01
3.8, 1.099569e+01
3.9, 3.700773e+01
4.0, 9.511551e+00
4.1, 1.035292e+01
4.2, 1.980571e+01
4.3, 1.656326e+01
4.4, 1.236344e+01
4.5, 7.168727e+00
4.6, 7.267775e+00
4.7, 1.938593e+01
4.8, 6.596165e+00
4.9, 1.914304e+01
5.0, 7.988580e+00
5.1, 7.328962e+00
5.2, 6.320803e+00
5.3, 6.337353e+00
5.4, 8.996184e+00
5.5, 1.229703e+01
5.6, 3.700178e+00
5.7, 9.443101e+00
5.8, 1.269151e+01
5.9, 8.860151e+00
6.0, 7.685528e+00
6.1, 1.196693e+01
6.2, 1.449822e+01
6.3, 6.897735e+00
6.4, 1.238418e+01
6.5, 7.465883e+00
6.6, 8.345374e+00
6.7, 6.800600e+00
6.8, 7.497873e+00
6.9, 6.367194e+00
7.0, 1.478229e+01
7.1, 9.586860e+00
7.2, 1.005747e+01
7.3, 7.748425e+00
7.4, 9.093595e+00
7.5, 1.323216e+01
7.6, 6.283085e+00
7.7, 6.103026e+00
7.8, 5.181317e+00
7.9, 5.416214e+00
8.0, 6.350940e+00
8.1, 7.973860e+00
8.2, 5.192924e+00
8.3, 7.570951e+00
8.4, 9.154434e+00
8.5, 1.083401e+01
8.6, 8.461401e+00
8.7, 4.468342e+00
8.8, 8.700124e+00
8.9, 8.477895e+00
9.0, 7.708908e+00
9.1, 7.080252e+00
9.2, 9.138556e+00
9.3, 5.312604e+00
9.4, 7.792146e+00
9.5, 6.254463e+00
9.6, 3.746230e+00
9.7, 1.274461e+01
9.8, 5.881290e+00
9.9, 6.220702e+00
10.0, 5.790939e+00

事件 16
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.58, 301.32, -89.9905, 35.1492, 15.06, 11.24

频率(Hz), 加速度谱(cm/s^2)
0.1, 2.617841e+01
0.2, 2.295872e+01
0.3, 3.786822e+01
0.4, 2.301204e+01
0.5, 1.448413e+01
0.6, 1.468776e+01
0.7, 2.344220e+01
0.8, 1.979121e+01
0.9, 5.347207e+01
1.0, 1.663930e+01
1.1, 1.805632e+01
1.2, 3.295362e+01
1.3, 2.083746e+01
1.4, 5.116406e+01
1.5, 2.754833e+01
1.6, 1.726994e+01
1.7, 2.617078e+01
1.8, 1.593091e+01
1.9, 4.627850e+01
2.0, 2.805854e+01
2.1, 2.601125e+01
2.2, 3.396603e+01
2.3, 2.691224e+01
2.4, 1.955183e+01
2.5, 3.365854e+01
2.6, 1.800047e+01
2.7, 2.356476e+01
2.8, 2.022644e+01
2.9, 1.425200e+01
3.0, 1.070270e+01
3.1, 2.555469e+01
3.2, 1.394730e+01
3.3, 2.802283e+01
3.4, 2.522832e+01
3.5, 1.338012e+01
3.6, 6.395606e+00
3.7, 1.969551e+01
3.8, 1.004986e+01
3.9, 3.249939e+01
4.0, 1.357089e+01
4.1, 2.204426e+01
4.2, 2.437819e+01
4.3, 1.537394e+01
4.4, 1.917969e+01
4.5, 3.191344e+01
4.6, 2.046196e+01
4.7, 9.776216e+00
4.8, 1.306614e+01
4.9, 1.625093e+01
5.0, 2.089090e+01
5.1, 9.881999e+00
5.2, 2.162980e+01
5.3, 1.387094e+01
5.4, 1.511175e+01
5.5, 1.151988e+01
5.6, 9.235703e+00
5.7, 9.971258e+00
5.8, 9.088464e+00
5.9, 1.409756e+01
6.0, 8.034514e+00
6.1, 1.287591e+01
6.2, 1.150510e+01
6.3, 1.563355e+01
6.4, 1.199432e+01
6.5, 1.391931e+01
6.6, 9.152419e+00
6.7, 2.253016e+01
6.8, 1.768023e+01
6.9, 8.480851e+00
7.0, 1.415266e+01
7.1, 9.430210e+00
7.2, 8.080929e+00
7.3, 9.486859e+00
7.4, 1.107680e+01
7.5, 6.584770e+00
7.6, 1.779570e+01
7.7, 4.226008e+00
7.8, 8.295341e+00
7.9, 1.585149e+01
8.0, 1.734587e+01
8.1, 1.967970e+01
8.2, 7.324246e+00
8.3, 9.926413e+00
8.4, 7.031091e+00
8.5, 1.652118e+01
8.6, 8.600882e+00
8.7, 8.214309e+00
8.8, 9.186191e+00
8.9, 1.668399e+01
9.0, 9.787903e+00
9.1, 3.703839e+00
9.2, 7.513624e+00
9.3, 7.430276e+00
9.4, 1.717438e+01
9.5, 1.228166e+01
9.6, 7.283314e+00
9.7, 5.427322e+00
9.8, 1.185038e+01
9.9, 6.847562e+00
10.0, 8.414264e+00

事件 17
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.72, 307.93, -90.4091, 35.3195, 8.90, 37.93

频率(Hz), 加速度谱(cm/s^2)
0.1, 2.281929e+01
0.2, 3.188894e+01
0.3, 2.042323e+01
0.4, 2.182426e+01
0.5, 2.263878e+01
0.6, 9.349232e+00
0.7, 2.846248e+01
0.8, 8.954099e+00
0.9, 2.489939e+01
1.0, 1.633442e+01
1.1, 1.234299e+01
1.2, 1.462223e+01
1.3, 1.816627e+01
1.4, 1.649535e+01
1.5, 1.428888e+01
1.6, 1.002791e+01
1.7, 1.346426e+01
1.8, 1.700905e+01
1.9, 1.304160e+01
2.0, 1.206829e+01
2.1, 7.388965e+00
2.2, 7.590183e+00
2.3, 1.121215e+01
2.4, 1.972515e+01
2.5, 1.011724e+01
2.6, 1.023747e+01
2.7, 8.116227e+00
2.8, 9.630668e+00
2.9, 9.791647e+00
3.0, 1.579535e+01
3.1, 1.156373e+01
3.2, 1.201958e+01
3.3, 1.173236e+01
3.4, 1.525287e+01
3.5, 1.103063e+01
3.6, 7.294367e+00
3.7, 1.237953e+01
3.8, 9.078983e+00
3.9, 9.837386e+00
4.0, 4.686731e+00
4.1, 7.243576e+00
4.2, 1.125534e+01
4.3, 8.561560e+00
4.4, 1.617187e+01
4.5, 1.267409e+01
4.6, 1.593833e+01
4.7, 1.486588e+01
4.8, 4.909179e+00
4.9, 1.291651e+01
5.0, 1.362214e+01
5.1, 8.551091e+00
5.2, 2.077324e+01
5.3, 1.027685e+01
5.4, 9.485149e+00
5.5, 1.396063e+01
5.6, 9.082662e+00
5.7, 1.424059e+01
5.8, 9.281623e+00
5.9, 5.313910e+00
6.0, 1.101774e+01
6.1, 1.228317e+01
6.2, 6.006699e+00
6.3, 1.925119e+00
6.4, 5.232243e+00
6.5, 3.879455e+00
6.6, 8.534263e+00
6.7, 6.183098e+00
6.8, 9.122350e+00
6.9, 7.972567e+00
7.0, 3.778400e+00
7.1, 6.339592e+00
7.2, 1.081206e+01
7.3, 4.638572e+00
7.4, 6.665603e+00
7.5, 3.747692e+00
7.6, 6.621423e+00
7.7, 1.002010e+01
7.8, 3.602310e+00
7.9, 5.362499e+00
8.0, 5.422137e+00
8.1, 4.068027e+00
8.2, 5.961846e+00
8.3, 9.313320e+00
8.4, 1.457306e+01
8.5, 3.394012e+00
8.6, 2.439158e+00
8.7, 5.594103e+00
8.8, 3.640225e+00
8.9, 4.759932e+00
9.0, 6.982886e+00
9.1, 4.804518e+00
9.2, 5.541134e+00
9.3, 4.993296e+00
9.4, 5.830537e+00
9.5, 6.676697e+00
9.6, 1.210229e+01
9.7, 3.857730e+00
9.8, 7.189696e+00
9.9, 4.469341e+00
10.0, 5.145581e+00

事件 18
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
6.57, 310.58, -90.4529, 35.3045, 13.71, 41.55

频率(Hz), 加速度谱(cm/s^2)
0.1, 2.074606e+02
0.2, 1.545013e+02
0.3, 1.404520e+02
0.4, 1.112342e+02
0.5, 1.993480e+02
0.6, 7.902003e+01
0.7, 1.334376e+02
0.8, 2.098974e+02
0.9, 1.679987e+02
1.0, 2.048911e+02
1.1, 9.126473e+01
1.2, 1.839797e+02
1.3, 1.531744e+02
1.4, 8.441890e+01
1.5, 6.922454e+01
1.6, 2.003640e+02
1.7, 8.341466e+01
1.8, 1.098431e+02
1.9, 1.468274e+02
2.0, 7.823872e+01
2.1, 6.308359e+01
2.2, 1.134573e+02
2.3, 8.447003e+01
2.4, 1.033035e+02
2.5, 1.106489e+02
2.6, 1.154457e+02
2.7, 8.350056e+01
2.8, 7.866141e+01
2.9, 1.114397e+02
3.0, 1.346412e+02
3.1, 8.978903e+01
3.2, 7.577175e+01
3.3, 9.949709e+01
3.4, 1.851096e+02
3.5, 8.120949e+01
3.6, 5.558201e+01
3.7, 6.548360e+01
3.8, 8.799683e+01
3.9, 1.249386e+02
4.0, 1.569571e+02
4.1, 9.160461e+01
4.2, 8.169774e+01
4.3, 6.410705e+01
4.4, 7.036974e+01
4.5, 7.140256e+01
4.6, 7.013453e+01
4.7, 6.651249e+01
4.8, 6.986289e+01
4.9, 7.222173e+01
5.0, 9.287952e+01
5.1, 1.201745e+02
5.2, 6.112834e+01
5.3, 6.463590e+01
5.4, 6.648449e+01
5.5, 6.046723e+01
5.6, 3.744569e+01
5.7, 6.361028e+01
5.8, 7.676974e+01
5.9, 1.948423e+01
6.0, 9.401539e+01
6.1, 7.376454e+01
6.2, 5.154591e+01
6.3, 7.928395e+01
6.4, 3.746945e+01
6.5, 7.298868e+01
6.6, 2.879123e+01
6.7, 7.395425e+01
6.8, 9.764047e+01
6.9, 5.329272e+01
7.0, 1.057365e+02
7.1, 4.325696e+01
7.2, 7.853618e+01
7.3, 4.210688e+01
7.4, 4.538993e+01
7.5, 4.534443e+01
7.6, 5.869420e+01
7.7, 6.453210e+01
7.8, 1.075754e+02
7.9, 3.282236e+01
8.0, 4.863721e+01
8.1, 5.402976e+01
8.2, 5.548920e+01
8.3, 2.744679e+01
8.4, 5.087591e+01
8.5, 9.116731e+01
8.6, 5.411435e+01
8.7, 3.691855e+01
8.8, 4.434964e+01
8.9, 3.565300e+01
9.0, 4.448161e+01
9.1, 2.362349e+01
9.2, 2.692076e+01
9.3, 7.263904e+01
9.4, 2.726474e+01
9.5, 3.063939e+01
9.6, 2.726864e+01
9.7, 3.672542e+01
9.8, 4.293593e+01
9.9, 2.928153e+01
10.0, 3.640413e+01

事件 19
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.97, 373.53, -90.3904, 35.0764, 10.15, 40.39

频率(Hz), 加速度谱(cm/s^2)
0.1, 3.085939e+01
0.2, 1.681116e+01
0.3, 1.930453e+01
0.4, 3.003888e+01
0.5, 2.261099e+01
0.6, 1.261891e+01
0.7, 2.117625e+01
0.8, 1.881004e+01
0.9, 2.794296e+01
1.0, 2.829118e+01
1.1, 2.226378e+01
1.2, 4.035628e+01
1.3, 1.716700e+01
1.4, 3.945409e+01
1.5, 1.591916e+01
1.6, 2.142061e+01
1.7, 1.593175e+01
1.8, 1.009103e+01
1.9, 1.546925e+01
2.0, 1.617867e+01
2.1, 3.135004e+01
2.2, 1.770365e+01
2.3, 1.487279e+01
2.4, 1.212457e+01
2.5, 1.418674e+01
2.6, 1.938812e+01
2.7, 1.341172e+01
2.8, 1.230213e+01
2.9, 2.012604e+01
3.0, 1.100866e+01
3.1, 1.221834e+01
3.2, 1.895904e+01
3.3, 1.107725e+01
3.4, 7.894702e+00
3.5, 7.860482e+00
3.6, 2.028035e+01
3.7, 9.492896e+00
3.8, 1.431735e+01
3.9, 1.015059e+01
4.0, 1.204284e+01
4.1, 1.159274e+01
4.2, 1.834738e+01
4.3, 1.071276e+01
4.4, 6.759240e+00
4.5, 1.789646e+01
4.6, 7.750349e+00
4.7, 1.208919e+01
4.8, 7.767784e+00
4.9, 1.099532e+01
5.0, 9.328167e+00
5.1, 1.261953e+01
5.2, 1.689761e+01
5.3, 8.607446e+00
5.4, 1.705190e+01
5.5, 8.925243e+00
5.6, 5.979300e+00
5.7, 1.849528e+01
5.8, 2.528398e+01
5.9, 1.238569e+01
6.0, 1.032713e+01
6.1, 1.770594e+01
6.2, 2.060367e+01
6.3, 8.643531e+00
6.4, 1.033246e+01
6.5, 9.913369e+00
6.6, 1.116926e+01
6.7, 1.377122e+01
6.8, 1.017115e+01
6.9, 1.585643e+01
7.0, 8.566312e+00
7.1, 4.776740e+00
7.2, 8.112876e+00
7.3, 3.950354e+00
7.4, 4.934476e+00
7.5, 1.083804e+01
7.6, 4.997949e+00
7.7, 6.454191e+00
7.8, 9.040165e+00
7.9, 5.419465e+00
8.0, 4.368106e+00
8.1, 7.693379e+00
8.2, 8.613327e+00
8.3, 5.198367e+00
8.4, 5.723402e+00
8.5, 7.707229e+00
8.6, 9.430237e+00
8.7, 9.753671e+00
8.8, 7.717439e+00
8.9, 9.014374e+00
9.0, 7.048177e+00
9.1, 1.395193e+01
9.2, 6.778788e+00
9.3, 5.329816e+00
9.4, 9.234308e+00
9.5, 4.378526e+00
9.6, 5.103110e+00
9.7, 6.384943e+00
9.8, 5.494562e+00
9.9, 8.314496e+00
10.0, 7.428119e+00

事件 20
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.87, 376.23, -89.8726, 35.3813, 13.10, 18.62

频率(Hz), 加速度谱(cm/s^2)
0.1, 4.687990e+01
0.2, 2.139208e+01
0.3, 2.343484e+01
0.4, 5.621718e+01
